template_id,label,site_group,site_note,estimated_gtv_cc,instantiated_gtv_cc,kept_vertex_count,proposed_vertex_count,site_centroid_mm,coordinate_note
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,Right midface / maxillary compartment near orbit and skull base.,66.0,64.624,2,2,"[-24.0, 18.0, 18.0]","Coordinate system follows the synthetic benchmark convention: x = left (+) / right (-), y = anterior (+) / posterior (-), z = superior (+) / inferior (-)."
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,Left maxillary crescent wrapping toward the orbit.,87.0,104.136,2,2,"[22.0, 18.0, 18.0]","Coordinate system follows the synthetic benchmark convention: x = left (+) / right (-), y = anterior (+) / posterior (-), z = superior (+) / inferior (-)."
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,Bulky midline BOT / oropharyngeal deep-core mass.,111.0,120.464,3,3,"[0.0, -6.0, -4.0]","Coordinate system follows the synthetic benchmark convention: x = left (+) / right (-), y = anterior (+) / posterior (-), z = superior (+) / inferior (-)."
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,Elongated laryngo-hypopharyngeal target along the cranio-caudal axis.,76.0,66.424,1,2,"[0.0, -8.0, -30.0]","Coordinate system follows the synthetic benchmark convention: x = left (+) / right (-), y = anterior (+) / posterior (-), z = superior (+) / inferior (-)."
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,Deep-space parapharyngeal / prestyloid mass close to carotid space.,114.0,121.328,3,3,"[-14.0, -8.0, 2.0]","Coordinate system follows the synthetic benchmark convention: x = left (+) / right (-), y = anterior (+) / posterior (-), z = superior (+) / inferior (-)."
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,Superficial buccal / cheek disease with skin and mandibular proximity.,100.0,100.616,1,2,"[-36.0, 24.0, -6.0]","Coordinate system follows the synthetic benchmark convention: x = left (+) / right (-), y = anterior (+) / posterior (-), z = superior (+) / inferior (-)."
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,Oral tongue / floor-of-mouth horseshoe geometry in the anterior oral cavity.,94.0,101.584,2,3,"[0.0, 16.0, -16.0]","Coordinate system follows the synthetic benchmark convention: x = left (+) / right (-), y = anterior (+) / posterior (-), z = superior (+) / inferior (-)."
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,Lateral neck nodal conglomerate spanning upper and mid neck levels.,168.0,169.096,3,4,"[-28.0, -6.0, -26.0]","Coordinate system follows the synthetic benchmark convention: x = left (+) / right (-), y = anterior (+) / posterior (-), z = superior (+) / inferior (-)."
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,Deep parotid / infratemporal mass with skull-base adjacency.,146.0,155.952,3,3,"[-38.0, -4.0, 10.0]","Coordinate system follows the synthetic benchmark convention: x = left (+) / right (-), y = anterior (+) / posterior (-), z = superior (+) / inferior (-)."
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,Very bulky composite oropharynx + upper-neck target extending across compartments.,326.0,329.032,4,5,"[-4.0, -4.0, -12.0]","Coordinate system follows the synthetic benchmark convention: x = left (+) / right (-), y = anterior (+) / posterior (-), z = superior (+) / inferior (-)."
