template_id,label,site_group,estimated_gtv_cc,instantiated_gtv_cc,proposed_vertex_count,kept_vertex_count,site_centroid_mm,kept_vertices_mm,case_dir,summary_json,summary_md,phantom_context_npz,material_tags_npz,patient_material_tags_bin,materials_include,geometry_figure
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,66.0,64.624,2,2,"[-24.0, 18.0, 18.0]","[[-34.0, 18.0, 22.0], [-14.0, 18.0, 14.0]]",PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case01,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case01/case_summary.json,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case01/case_summary.md,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case01/phantom_context.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case01/material_tags.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case01/patient_material_tags.bin,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case01/materials.txt,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case01/figure_case_geometry.png
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,87.0,104.136,2,2,"[22.0, 18.0, 18.0]","[[9.0, 14.0, 27.0], [26.0, 14.0, 14.0]]",PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case02,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case02/case_summary.json,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case02/case_summary.md,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case02/phantom_context.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case02/material_tags.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case02/patient_material_tags.bin,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case02/materials.txt,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case02/figure_case_geometry.png
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,111.0,120.464,3,3,"[0.0, -6.0, -4.0]","[[-17.0, -6.0, 5.0], [19.0, -6.0, 5.0], [-4.0, -18.0, -14.0]]",PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case03,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case03/case_summary.json,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case03/case_summary.md,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case03/phantom_context.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case03/material_tags.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case03/patient_material_tags.bin,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case03/materials.txt,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case03/figure_case_geometry.png
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,76.0,66.424,2,1,"[0.0, -8.0, -30.0]","[[0.0, -3.0, -46.0]]",PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case04,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case04/case_summary.json,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case04/case_summary.md,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case04/phantom_context.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case04/material_tags.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case04/patient_material_tags.bin,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case04/materials.txt,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case04/figure_case_geometry.png
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,114.0,121.328,3,3,"[-14.0, -8.0, 2.0]","[[-25.0, -9.0, 16.0], [1.0, -14.0, 10.0], [-20.0, -2.0, -9.0]]",PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case05,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case05/case_summary.json,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case05/case_summary.md,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case05/phantom_context.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case05/material_tags.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case05/patient_material_tags.bin,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case05/materials.txt,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case05/figure_case_geometry.png
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,100.0,100.616,2,1,"[-36.0, 24.0, -6.0]","[[-16.0, 38.0, -9.0]]",PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case06,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case06/case_summary.json,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case06/case_summary.md,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case06/phantom_context.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case06/material_tags.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case06/patient_material_tags.bin,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case06/materials.txt,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case06/figure_case_geometry.png
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,94.0,101.584,3,2,"[0.0, 16.0, -16.0]","[[-17.0, 16.0, -8.0], [17.0, 18.0, -8.0]]",PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case07,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case07/case_summary.json,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case07/case_summary.md,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case07/phantom_context.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case07/material_tags.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case07/patient_material_tags.bin,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case07/materials.txt,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case07/figure_case_geometry.png
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,168.0,169.096,4,3,"[-28.0, -6.0, -26.0]","[[-14.0, -10.0, -8.0], [-28.0, -14.0, -46.0], [-19.0, 4.0, -39.0]]",PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case08,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case08/case_summary.json,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case08/case_summary.md,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case08/phantom_context.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case08/material_tags.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case08/patient_material_tags.bin,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case08/materials.txt,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case08/figure_case_geometry.png
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,146.0,155.952,3,3,"[-38.0, -4.0, 10.0]","[[-44.0, -8.0, 26.0], [-24.0, -7.0, 19.0], [-34.0, 5.0, -3.0]]",PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case09,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case09/case_summary.json,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case09/case_summary.md,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case09/phantom_context.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case09/material_tags.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case09/patient_material_tags.bin,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case09/materials.txt,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case09/figure_case_geometry.png
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,326.0,329.032,5,4,"[-4.0, -4.0, -12.0]","[[-26.0, -4.0, 2.0], [18.0, -6.0, 2.0], [-12.0, -22.0, -28.0], [2.0, 23.0, -23.0]]",PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case10,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case10/case_summary.json,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case10/case_summary.md,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case10/phantom_context.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case10/material_tags.npz,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case10/patient_material_tags.bin,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case10/materials.txt,PROJECT_ROOT/runs/phase32_site_specific_template_phantoms/case10/figure_case_geometry.png
